Station,SID,Network,Distance_mi,Covered_years,Tmax_%,Tmin_%,Tmean_%,Precip_%,Keep
MARSHALL,345589 2,COOP,21.9,1991-2020,0,0,0,100,DROP
BRITTON 2 E,341148 2,COOP,22.0,  none ,0,0,0,0,DROP
PIEDMONT 3 N,347068 2,COOP,22.2,1991-2009,0,0,0,63,DROP
OKLAHOMA CITY 10.5 NNW,US1OKOK0115 6,GHCN,22.2,  none ,0,0,0,0,DROP
LAKE HEFNER 2,344976 2,COOP,22.3,  none ,0,0,0,0,DROP
OKLAHOMA CITY 11.3 NW,US1OKOK0135 6,GHCN,22.4,  none ,0,0,0,0,DROP
PIEDMONT 3.2 ESE,US1OKCN0007 6,GHCN,22.4,2007-2014,0,0,0,22,DROP
PERKINS 2NNW MESONET,347002 2,COOP,22.6,2000-2020,40,40,40,39,DROP
PIEDMONT 1.5 NE,US1OKCN0012 6,GHCN,22.9,2013-2020,0,0,0,6,DROP
STILLWATER 3.5 SW,US1OKPY0020 6,GHCN,22.9,2019-2019,0,0,0,1,DROP
LAKE C BLACKWELL,344969 2,COOP,23.1,  none ,0,0,0,0,DROP
PERKINS,347003 2,COOP,23.2,1991-2019,0,0,0,89,DROP
JONES 0.9 SSW,US1OKOK0119 6,GHCN,23.5,  none ,0,0,0,0,DROP
SPENCER 3.0 NNE,US1OKOK0047 6,GHCN,23.6,2012-2016,0,0,0,11,DROP
SPENCER 2ENE MESONET,348390 2,COOP,23.7,2000-2020,40,40,40,40,DROP
PIEDMONT 1.5 WNW,US1OKCN0016 6,GHCN,24.0,2013-2020,0,0,0,7,DROP
OKLAHOMA CITY N DSPL,346664 2,COOP,24.0,  none ,0,0,0,0,DROP
WARR ACRES 2.3 N,US1OKOK0022 6,GHCN,24.5,2008-2012,0,0,0,4,DROP
STILLWATER 2 W,348501 2,COOP,24.7,1991-2020,63,62,62,98,DROP
OKLAHOMA CITY 6.7 NW,US1OKOK0070 6,GHCN,24.8,2017-2020,0,0,0,11,DROP
STILLWATER MESONET,348499 2,COOP,24.9,2000-2020,39,39,39,38,DROP
STILLWATER 2 W,348505 2,COOP,24.9,2002-2020,62,62,62,62,DROP
STILLWATER 5 WNW,348507 2,COOP,25.0,2002-2020,62,62,62,62,DROP
STILLWATER 2.7 SSE,US1OKPY0006 6,GHCN,25.3,2009-2018,0,0,0,26,DROP
YUKON 6.4 NE,US1OKCN0014 6,GHCN,25.4,2013-2014,0,0,0,2,DROP
OKLAHOMA CITY 3.8 NNW,US1OKOK0019 6,GHCN,25.5,2008-2020,0,0,0,36,DROP
PIEDMONT 4.4 S,US1OKCN0049 6,GHCN,25.6,2020-2020,0,0,0,1,DROP
OKLAHOMA CITY 6.2 NW,US1OKOK0105 6,GHCN,25.9,2019-2020,0,0,0,1,DROP
WILEY POST 1.6 NNW,US1OKOK0013 6,GHCN,26.0,2007-2010,0,0,0,2,DROP
PIEDMONT 3.8 S,US1OKCN0032 6,GHCN,26.1,2017-2020,0,0,0,12,DROP
OKLAHOMA CITY 6.1 NW,US1OKOK0083 6,GHCN,26.1,2018-2020,0,0,0,7,DROP
WARR ACRES 0.4 N,US1OKOK0018 6,GHCN,26.2,2008-2013,0,0,0,2,DROP
WILEY POST 2.0 NW,US1OKOK0095 6,GHCN,26.4,2018-2020,0,0,0,2,DROP
OKLAHOMA CITY WILEY POST AP,USW00003954 6,GHCN,26.5,1996-2020,80,80,80,76,DROP
OKLAHOMA CITY 3.2 NNW,US1OKOK0107 6,GHCN,26.6,2020-2020,0,0,0,2,DROP
STILLWATER 1.8 SE,US1OKPY0027 6,GHCN,26.6,  none ,0,0,0,0,DROP
WELLSTON 7.7 SSW,US1OKLN0014 6,GHCN,26.8,2019-2020,0,0,0,5,DROP
WARR ACRES 0.4 SSE,US1OKOK0029 6,GHCN,26.9,2008-2020,0,0,0,40,DROP
STILLWATER REGIONAL AP,348500 2,COOP,27.1,1996-2020,80,80,80,75,DROP
STILLWATER 0.9 NE,US1OKPY0030 6,GHCN,27.2,  none ,0,0,0,0,DROP
HENNESSEY 4 ESE,344055 2,COOP,27.3,1991-2013,69,70,69,71,DROP
MIDWEST CITY 1.6 NNW,US1OKOK0053 6,GHCN,27.5,2013-2014,0,0,0,2,DROP
WARR ACRES 1.4 SSE,US1OKOK0016 6,GHCN,27.6,2008-2010,0,0,0,4,DROP
OKLAHOMA CITY 1.7 NNW,US1OKOK0026 6,GHCN,27.7,2008-2017,0,0,0,5,DROP
DOVER 2 S,342599 2,COOP,27.8,2000-2017,0,0,0,25,DROP
OKLAHOMA CITY PENN AVENUE,346656 2,COOP,28.0,  none ,0,0,0,0,DROP
MIDWEST CITY 1.2 NE,US1OKOK0056 6,GHCN,28.0,2013-2020,0,0,0,14,DROP
OKLAHOMA CITY 3.6 WNW,US1OKOK0106 6,GHCN,28.1,2020-2020,0,0,0,2,DROP
STILLWATER 2.4 N,US1OKPY0025 6,GHCN,28.1,  none ,0,0,0,0,DROP
OKLAHOMA CITY 1.4 NW,US1OKOK0139 6,GHCN,28.2,  none ,0,0,0,0,DROP
KINGFISHER,344861 2,COOP,28.3,1991-2020,65,64,64,100,DROP
OKLAHOMA CITY 4.3 WNW,US1OKOK0066 6,GHCN,28.3,2015-2020,0,0,0,3,DROP
OKLAHOMA CITY 2.8 WNW,US1OKOK0113 6,GHCN,28.4,  none ,0,0,0,0,DROP
KINGFISHER (KINGFISHER CREEK),344862 2,COOP,28.4,2000-2013,0,0,0,0,DROP
OKLAHOMA CITY 0.6 NNW,US1OKOK0073 6,GHCN,28.4,2017-2020,0,0,0,7,DROP
STILLWATER 4.2 ESE,US1OKPY0031 6,GHCN,28.4,  none ,0,0,0,0,DROP
OKLAHOMA CITY EAST,346663 2,COOP,28.6,  none ,0,0,0,0,DROP
BETHANY 0.8 W,US1OKOK0001 6,GHCN,28.8,2006-2012,0,0,0,10,DROP
CHOCTAW 1.4 WSW,US1OKOK0048 6,GHCN,28.8,2013-2020,0,0,0,23,DROP
DEL CITY 0.9 NE,US1OKOK0117 6,GHCN,29.2,  none ,0,0,0,0,DROP
BETHANY 0.7 SSW,US1OKOK0005 6,GHCN,29.3,2006-2015,0,0,0,30,DROP
PERRY,347012 2,COOP,29.3,1991-2020,62,62,61,99,DROP
MIDWEST CITY 2.5 WSW,US1OKOK0103 6,GHCN,29.4,2019-2020,0,0,0,4,DROP
YUKON 2 NNE,349856 2,COOP,29.4,  none ,0,0,0,0,DROP
